Day,Date,Time,Status,Score,Visitors,Home,Venue,visitor_score,home_score
Sat,03/16/24,09:30:00 AM,F,12-1,LA Hard Knocks  ,Long Beach Coyotes  ,Montebello HS,12,1
Sat,03/16/24,09:30:00 AM,F,3-0,LA Los Guapos  ,LA Legends  ,Narbonne HS,3,0
Sat,04/06/24,09:30:00 AM,F,6-5,LA Los Guapos  ,LA Hard Knocks  ,Montebello HS,6,5
Sat,04/06/24,01:00:00 PM,F,9-0,LA Legends  ,Long Beach Coyotes  ,Montebello HS,9,0
Sat,04/13/24,02:00:00 PM,F,1-2,Long Beach Coyotes  ,LA Hard Knocks  ,Montebello HS,1,2
Sat,04/20/24,02:00:00 PM,F,11-5,LA Legends  ,LA Los Guapos  ,Montebello HS,11,5
Sat,04/27/24,09:30:00 AM,F,4-2,LA Legends  ,LA Hard Knocks  ,Montebello HS,4,2
Sat,04/27/24,09:30:00 AM,F,9-1,LA Los Guapos  ,Long Beach Coyotes  ,Narbonne HS,9,1
Sat,05/04/24,09:30:00 AM,F,3-4,LA Hard Knocks  ,LA Los Guapos  ,Montebello HS,3,4
Sat,05/04/24,09:30:00 AM,F,1-4,Long Beach Coyotes  ,LA Legends  ,Narbonne HS,1,4
Sat,05/11/24,09:30:00 AM,F,8-2,LA Hard Knocks  ,Long Beach Coyotes  ,Montebello HS,8,2
Sat,05/11/24,09:30:00 AM,F,0-9,LA Los Guapos  ,LA Legends  ,Narbonne HS,0,9
Sat,05/18/24,09:30:00 AM,F,6-2,LA Hard Knocks  ,LA Legends  ,Montebello HS,6,2
Sat,05/18/24,09:30:00 AM,F,3-1,Long Beach Coyotes  ,LA Los Guapos  ,Narbonne HS,3,1
Sat,05/18/24,01:00:00 PM,F,4-7,LA Hard Knocks  ,LA Legends  ,Montebello HS,4,7
Sat,06/01/24,09:30:00 AM,F,14-2,LA Legends  ,Long Beach Coyotes  ,Legacy HS,14,2
Sat,06/01/24,09:30:00 AM,F,15-11,LA Los Guapos  ,LA Hard Knocks  ,Narbonne HS,15,11
Sat,06/08/24,09:30:00 AM,F,1-8,Long Beach Coyotes  ,LA Hard Knocks  ,Legacy HS,1,8
Sat,06/15/24,09:30:00 AM,F,5-16,LA Los Guapos  ,Long Beach Coyotes  ,Legacy HS,5,16
Sat,06/15/24,09:30:00 AM,F,13-3,LA Legends  ,LA Hard Knocks  ,Montebello HS,13,3
Sat,06/15/24,01:00:00 PM,F,1-2,Long Beach Coyotes  ,LA Los Guapos  ,Legacy HS,1,2
Sat,06/22/24,09:30:00 AM,F,11-5,LA Hard Knocks  ,LA Los Guapos  ,Glendale Sports Complex,11,5
Sat,06/22/24,09:30:00 AM,F,3-4,Long Beach Coyotes  ,LA Legends  ,Montebello HS,3,4
Sat,06/29/24,09:30:00 AM,F,8-8,LA Los Guapos  ,LA Legends  ,Legacy HS,8,8
Sat,06/29/24,09:30:00 AM,F,11-3,LA Hard Knocks  ,Long Beach Coyotes  ,Montebello HS,11,3
Sat,06/29/24,01:00:00 PM,F,17-4,LA Legends  ,LA Los Guapos  ,Legacy HS,17,4
Sat,07/13/24,09:30:00 AM,F,9-12,Long Beach Coyotes  ,LA Legends  ,Glendale Sports Complex,9,12
Sat,07/13/24,09:30:00 AM,F,4-6,LA Hard Knocks  ,LA Los Guapos  ,Montebello HS,4,6
Sat,07/20/24,09:30:00 AM,F,9-10,LA Legends  ,LA Hard Knocks  ,Glendale Sports Complex,9,10
Sat,07/20/24,09:30:00 AM,F,2-6,LA Los Guapos  ,Long Beach Coyotes  ,Montebello HS,2,6
