,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
4,Kellen Hatheway,Legends,0.452,12.0,42.0,15.0,19.0,4.0,3.0,3.0,11.0,2.0,15.0,2.0,2.0,0.0,0.0,38.0,0.5,0.905,9.0,46.0,0.6216886531387774,18.27189821388776,11.768862654477525,280.35563891643034,0.06503067484662578,11.83389332932415,1.860132625994695,13.694025955318844,1.1288177074789993
0,Jose Holguin,Hard Knocks,0.455,12.0,44.0,6.0,20.0,9.0,0.0,1.0,17.0,5.0,5.0,1.0,2.0,0.0,0.0,32.0,0.52,0.727,10.0,50.0,0.5718616771304308,17.57702767418938,10.508510761786951,248.11835447372414,-0.012269938650306733,10.496240823136644,2.0218832891246685,12.518124112261312,1.0318864743243716
5,Cody Stevens,Legends,0.442,12.0,43.0,11.0,19.0,3.0,0.0,1.0,7.0,4.0,6.0,2.0,2.0,0.0,0.0,25.0,0.51,0.581,15.0,49.0,0.5161661825599608,14.723836793766608,7.796690219612228,212.0842290966457,-0.14110429447852757,7.655585925133701,1.9814456233421753,9.637031548475877,0.7943939857385821
0,George Aceves,Legends,0.583,7.0,24.0,6.0,14.0,4.0,1.0,0.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,20.0,0.593,0.833,9.0,27.0,0.6416942863677115,11.219948127807248,7.402948995109936,293.2989748465412,0.1165644171779141,7.51951341228785,1.091816976127321,8.61133038841517,0.709844004904891
6,Andrew Gerety,Legends,0.437,10.0,32.0,6.0,14.0,5.0,0.0,0.0,6.0,4.0,5.0,0.0,4.0,0.0,0.0,19.0,0.5,0.594,9.0,36.0,0.5155788455576134,10.798130669041196,5.708798492111448,211.70423112114682,0.4650306748466258,6.1738291669580745,1.4557559681697614,7.629585135127836,0.6289173709288715
8,Brian Holman,Legends,0.4,11.0,35.0,11.0,14.0,3.0,0.0,0.0,6.0,5.0,8.0,1.0,4.0,0.0,0.0,17.0,0.488,0.486,11.0,41.0,0.4726600003411877,10.684841408684534,4.888657540514542,183.93640068000934,0.3619631901840491,5.250620730698591,1.6579442970822282,6.908565027780819,0.5694826752975551
3,Maximino Pecina,Coyotes,0.345,8.0,29.0,5.0,10.0,4.0,0.0,3.0,11.0,2.0,8.0,1.0,0.0,0.0,0.0,23.0,0.406,0.793,3.0,32.0,0.5285324058057863,9.978308616823757,5.4544577928862035,220.08498467512797,-0.15460122699386503,5.2998565658923384,1.294005305039788,6.593861870932127,0.5435412540376979
7,Dylan Plunkett,Guapos,0.26,15.0,50.0,11.0,13.0,3.0,0.0,1.0,9.0,10.0,18.0,4.0,0.0,0.0,0.0,19.0,0.422,0.38,9.0,64.0,0.40535763487427756,12.730380290132008,3.682678642256899,140.39280897457837,-0.592638036809816,3.090040605447083,2.588010610079576,5.678051215526659,0.46804970115962613
1,Jake Sahagian,Legends,0.5,4.0,16.0,8.0,8.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,13.0,0.529,0.812,5.0,17.0,0.6098342511927194,6.567927354868681,4.164631604651856,272.6860238193948,0.245398773006135,4.410030377657991,0.6874403183023874,5.097470695960379,0.42019163712191154
4,Paul Galloway,Hard Knocks,0.346,9.0,26.0,8.0,9.0,2.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,11.0,0.485,0.423,7.0,33.0,0.4545073080093865,8.050876598961473,3.3856554367758696,172.19188891186232,-0.16073619631901842,3.224919240456851,1.3344429708222814,4.559362211279133,0.37583460230725546
