,Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA,IP_dec,IP_p_G,RA9,dRPW,RAAP9,WPGAA,Rep,WPGAR,WAR
4,Kyle Henke,Legends,8.0,8.0,48.0,14.0,11.0,29.0,11.0,7.0,44.0,0.0,4.0,1.0,0.0,2.06,48.0,6.0,2.625,10.400033156498676,3.462533156498674,0.3329348189947874,0.11,0.44293481899478737,2.362319034638866
5,David Whitaker,Hard Knocks,14.0,7.0,65.0,29.0,20.0,51.0,18.0,1.0,85.0,0.0,6.0,4.0,0.0,2.77,65.0,4.642857142857143,4.015384615384615,11.329575596816978,2.0721485411140588,0.1828972783143108,0.11,0.2928972783143108,2.115369232270022
2,Danny Torres,Guapos,9.0,1.0,31.2,8.0,5.0,21.0,3.0,7.0,48.0,1.0,2.0,1.0,3.0,1.42,31.666666666666664,3.518518518518518,2.2736842105263158,11.013041556145005,3.8138489459723584,0.3463029651281326,0.11,0.45630296512813256,1.6055104328582441
4,Kyle Salaya,Coyotes,11.0,10.0,66.2,39.0,25.0,47.0,22.0,6.0,78.0,2.0,3.0,7.0,0.0,3.38,66.66666666666667,6.060606060606061,5.265,11.71587894863757,0.8225331564986744,0.07020669640789742,0.11,0.18020669640789744,1.3348644178362774
5,Brett Klasko,Legends,8.0,3.0,28.0,11.0,10.0,34.0,7.0,2.0,13.0,0.0,2.0,0.0,1.0,3.21,28.0,3.5,3.5357142857142856,11.387019230769232,2.5518188707843885,0.22409893397642083,0.11,0.3340989339764208,1.0394189057044203
3,Brian Holman,Legends,6.0,1.0,16.0,3.0,1.0,10.0,7.0,0.0,11.0,0.0,2.0,0.0,0.0,0.56,16.0,2.6666666666666665,1.6875,11.153514588859418,4.400033156498674,0.39449745830732186,0.11,0.5044974583073218,0.8968843703241277
6,Chad Crunelle,Hard Knocks,13.0,6.0,51.2,37.0,19.0,45.0,17.0,2.0,67.0,0.0,2.0,2.0,1.0,3.31,51.66666666666668,3.9743589743589753,6.445161290322579,12.249744950010202,-0.3576281338239049,-0.029194741219784097,0.11,0.08080525878021591,0.46388204114568404
3,Alex Torres,Guapos,6.0,4.0,33.2,23.0,15.0,34.0,6.0,1.0,30.0,0.0,1.0,1.0,0.0,4.01,33.66666666666668,5.611111111111113,6.148514851485146,12.159814323607424,-0.06098169498647188,-0.005015018598440291,0.11,0.10498498140155971,0.3927215970947235
0,Jake Vollen,Coyotes,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,11.116710875331565,6.087533156498674,0.5476020042949177,0.11,0.6576020042949177,0.29226755746440786
1,Jose Holguin,Hard Knocks,4.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.62400530503979,6.087533156498674,0.5237035769296594,0.11,0.6337035769296594,0.28164603419095974
4,Michael Mair,Hard Knocks,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,10.609416445623342,6.087533156498674,0.573785861616351,0.11,0.683785861616351,0.22792862053878366
2,Jesse Martinez,Hard Knocks,1.0,1.0,3.1,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,2.6999999999999997,11.190318302387269,3.3875331564986744,0.30272000000000004,0.11,0.41272000000000003,0.15285925925925928
4,Samuel Prasse,Guapos,6.0,4.0,36.0,28.0,17.0,27.0,21.0,5.0,32.0,2.0,3.0,1.0,0.0,4.25,36.0,6.0,7.0,12.587533156498676,-0.9124668435013259,-0.07248972710989354,0.11,0.03751027289010646,0.15004109156042583
1,David Odud,Guapos,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,11.116710875331565,6.087533156498674,0.5476020042949177,0.11,0.6576020042949177,0.14613377873220393
1,Cody Stevens,Legends,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.62400530503979,6.087533156498674,0.5237035769296594,0.11,0.6337035769296594,0.14082301709547987
6,Josh Cimino,Legends,1.0,1.0,8.0,5.0,5.0,8.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,5.62,8.0,8.0,5.625,11.822944297082227,0.4625331564986741,0.03912165572942961,0.11,0.14912165572942962,0.1325525828706041
2,Will Pawlosky,Legends,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.62400530503979,6.087533156498674,0.5237035769296594,0.11,0.6337035769296594,0.07041150854773993
0,Alexander Delk,Legends,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.0,11.793103448275863,6.087533156498674,0.5161943319838057,0.11,0.6261943319838057,0.04638476533213376
0,Yuyi Contreras,Hard Knocks,2.0,0.0,1.1,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333337,0.6666666666666669,6.749999999999998,12.168103448275863,-0.6624668435013241,-0.05444290035150803,0.11,0.05555709964849197,0.00823068142940622
1,TJ Carter,Coyotes,3.0,1.0,13.0,11.0,3.0,17.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,2.08,13.0,4.333333333333333,7.615384615384615,12.683023872679048,-1.5278514588859409,-0.12046428944891761,0.11,-0.010464289448917613,-0.015115084759547663
5,Kyle Ramirez,Coyotes,1.0,1.0,9.0,8.0,5.0,10.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,5.0,9.0,9.0,8.0,13.565649867374004,-1.912466843501326,-0.14097863811898126,0.11,-0.030978638118981258,-0.030978638118981258
2,DaJohn Murray,Coyotes,1.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,12.85941644562334,-2.912466843501326,-0.2264851485148515,0.11,-0.11648514851485149,-0.038828382838283826
10,Jake Sahagian,Legends,2.0,0.0,2.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,13.5,2.0,1.0,13.5,12.749005305039788,-7.412466843501326,-0.5814153077943356,0.11,-0.4714153077943356,-0.10475895728763013
3,Adrian Rangel,Coyotes,4.0,1.0,14.0,13.0,5.0,17.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,3.21,14.0,3.5,8.357142857142858,12.79326923076923,-2.2696097006441835,-0.1774065455595604,0.11,-0.0674065455595604,-0.10485462642598284
