Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,oWAR,positional_adjustment,dRAR,dWAR,WAR
Cody Stevens,Legends,0.595,13,42,12,25,7,3,1,9,5,2,2,2,0,1,41,0.64,0.976,14,50,0.7007628410742395,26.354370808476823,17.4431785943649,295.3192312470098,-0.54263431542461,16.900544278940288,2.2082763337893296,19.108820612729616,1.4422123656915338,0.04588681649649225,0.5965286144543992,0.045022189578872114,1.4872345552704058
Jose Holguin,Hard Knocks,0.458,14,48,11,22,1,0,6,21,7,5,1,6,0,0,41,0.536,0.854,15,56,0.5996736263637823,22.85077613992252,12.870240860117166,228.6241006446014,0.1675909878682844,13.03783184798545,2.473269493844049,15.511101341829498,1.1706793744130262,,,,1.1706793744130262
Savion Thompson,Cardinals,0.5,11,36,13,18,2,0,3,13,2,10,2,14,0,0,29,0.55,0.806,13,40,0.6035602691036244,16.50505196861079,9.376098197321252,231.18837167866903,2.0369150779896015,11.413013275310853,1.7666210670314637,13.179634342342316,0.9947150590317727,,,,0.9947150590317727
Brandon Kaufman,Hard Knocks,0.519,15,52,12,27,1,3,0,12,3,4,2,3,0,1,34,0.552,0.654,23,58,0.5605368990316547,20.99391366602064,10.65693069765081,202.80305585517064,-0.6568457538994801,10.000084943751329,2.561600547195622,12.561685490946951,0.9480762060690953,,,,0.9480762060690953
Isaac Friedenberg,Cardinals,0.488,12,43,11,21,6,0,0,14,1,8,4,10,0,0,27,0.542,0.628,15,48,0.5599704642687638,17.34225706266663,8.787512537119182,202.42934199660567,1.1022530329289428,9.889765570048125,2.119945280437756,12.009710850485881,0.9064166673589572,,,,0.9064166673589572
Gabriel Tiscareno,Breakers,0.5,11,34,12,17,4,0,0,8,7,2,2,1,0,0,21,0.605,0.618,13,43,0.599328461760759,17.528654355138347,9.865029051002093,228.39637310369704,-0.787521663778163,9.07750738722393,1.8991176470588234,10.976625034282753,0.8284459140014138,,,,0.8284459140014138
Kasim Hussain,Legends,0.4,12,35,9,14,3,0,2,10,9,10,2,2,0,1,23,0.532,0.657,9,47,0.549419546824061,16.39701993232806,8.020499251062851,195.46821544155992,-0.49774696707105714,7.522752283991794,2.0757797537619695,9.598532037753763,0.7244362107891179,0.04934142279967801,0.5920970735961361,0.0446877250321383,0.7691239358212562
Neer Patel,Mariners,0.937,4,16,1,15,0,0,0,1,0,3,0,0,0,0,15,0.937,0.937,15,16,0.9189358666146059,12.543961198179769,9.692379689663953,439.2621679293746,-0.6733102253032929,9.01906946436066,0.7066484268125854,9.725717891173245,0.7340353908881981,,,,0.7340353908881981
Leo Decter,Cardinals,0.395,13,38,16,15,2,0,0,6,5,9,5,16,0,0,17,0.521,0.447,13,48,0.5004890936299128,13.980220532183806,5.4254760066363605,163.18561263802698,2.1675909878682846,7.593066994504645,2.119945280437756,9.7130122749424,0.7330764517043927,,,,0.7330764517043927
Dylan Plunkett,Guapos,0.429,12,35,15,15,3,0,1,14,11,9,0,7,0,4,21,0.52,0.6,11,50,0.5202056544430428,15.723593846024404,6.812401631912481,176.19391033059975,0.41247833622183716,7.224879968134318,2.2082763337893296,9.433156301923647,0.7119547010176229,,,,0.7119547010176229
