Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA,IP_dec,IP_p_G,RA9,dRPW,RAAP9,WPGAA,Rep,WPGAR,WAR
Kyle Salaya,Breakers,12,12,76.2,37,17,53,34,10,111,4,7,2,0,2.0,76.66666666666667,6.388888888888889,4.343478260869565,11.519361239119304,2.0712682829092364,0.17980756397110714,0.11,0.28980756397110713,2.4687311004946166
David Whitaker,Hard Knocks,12,7,59.0,25,9,54,11,2,79,0,7,0,2,1.37,59.0,4.916666666666667,3.8135593220338984,11.556355606758832,2.6011872217449032,0.2250871563889551,0.11,0.3350871563889551,2.196682469660928
Kyle Aube,Legends,8,6,25.2,12,8,22,12,1,25,0,2,0,0,2.81,25.666666666666664,3.208333333333333,4.207792207792208,12.032066052227343,2.2069543359865937,0.1834227244437416,0.11,0.2934227244437416,0.8367981400803001
Alex Torres,Guapos,6,3,31.0,18,11,32,7,1,41,2,2,1,0,3.19,31.0,5.166666666666667,5.225806451612903,12.110215053763438,1.1889400921658986,0.09817662914222294,0.11,0.20817662914222296,0.7170528337121014
Michael Mair,Hard Knocks,5,1,13.0,3,2,4,4,2,17,0,0,0,3,1.38,13.0,2.6,2.076923076923077,11.682258064516128,4.337823466855724,0.3713172096438698,0.11,0.4813172096438698,0.6952359694855897
Chad Crunelle,Hard Knocks,12,7,52.2,37,24,53,10,4,63,0,4,3,2,4.1,52.66666666666668,4.38888888888889,6.3227848101265804,12.588485663082437,0.09196173365222116,0.007305226070353506,0.11,0.11730522607035351,0.6864528044116984
Alexander English,Mariners,1,0,7.0,0,0,0,3,0,3,0,0,0,0,0.0,7.0,7.0,0.0,8.880184331797235,6.414746543778802,0.7223663725998962,0.11,0.8323663725998962,0.6473960675776971
Josh Cimino,Legends,2,0,6.2,0,0,3,0,0,4,0,1,0,0,0.0,6.666666666666667,3.3333333333333335,0.0,10.840245775729647,6.414746543778802,0.5917528694912852,0.11,0.7017528694912852,0.519816940363915
Elias Jauregui,Cardinals,4,0,7.0,0,0,1,1,0,8,0,0,0,1,0.0,7.0,1.75,0.0,11.686635944700459,6.414746543778802,0.5488958990536278,0.11,0.6588958990536278,0.5124745881528217
Kyle Henke,Legends,7,3,19.1,12,11,18,5,0,18,0,1,0,2,5.12,19.33333333333334,2.7619047619047628,5.586206896551722,12.431424182576254,0.8285396472270792,0.06664881151657194,0.11,0.17664881151657194,0.3794678173318954
Victor DeLeon,Breakers,2,0,6.0,1,1,3,0,0,6,0,0,0,1,1.5,6.0,3.0,1.5,11.393433179723502,4.914746543778802,0.4313666009403913,0.11,0.5413666009403914,0.36091106729359423
Robert Reeves,Guapos,4,2,14.1,8,4,11,7,2,10,0,2,0,0,2.51,14.333333333333332,3.583333333333333,5.023255813953488,12.206605222734256,1.3914907298253132,0.11399489902677643,0.11,0.22399489902677644,0.3567326169685699
Leo Alcala,Guapos,1,1,8.0,3,3,10,2,0,11,1,1,0,0,3.37,8.0,8.0,3.375,10.595622119815667,3.0397465437788016,0.2868870283788192,0.11,0.3968870283788192,0.35278846967006144
Joselito Garcia,Breakers,3,0,7.0,2,2,4,2,1,5,0,1,0,0,2.57,7.0,2.3333333333333335,2.5714285714285716,11.874807987711213,3.84331797235023,0.3236530625444667,0.11,0.43365306254446667,0.33728571531236295
Brian Holman,Legends,4,1,9.2,5,5,9,0,2,6,0,1,0,1,4.66,9.666666666666664,2.416666666666666,4.655172413793105,12.267761136712751,1.7595741299856966,0.14343074586934687,0.11,0.2534307458693469,0.27220339371152064
Alexander Delk,Legends,4,0,6.0,2,2,2,1,1,7,0,1,0,1,3.0,6.0,1.5,3.0,12.195276497695852,3.4147465437788016,0.2800056681309338,0.11,0.3900056681309338,0.26000377875395586
Jose Holguin,Hard Knocks,4,0,4.1,1,0,2,1,1,6,0,0,0,1,0.0,4.333333333333332,1.083333333333333,2.0769230769230775,12.230510752688174,4.337823466855724,0.3546723071971711,0.11,0.46467230719717106,0.22373111087271194
