Name,Team,WAR_off,WAR_RA9,WAR
David Whitaker,Hard Knocks,-0.0469767514299911,1.510146967501552,1.463170216071561
Kyle Salaya,Breakers,,1.3938305030593143,1.3938305030593143
Cody Stevens,Legends,1.3855904640448262,-0.1950609138150376,1.1905295502297886
Jose Holguin,Hard Knocks,0.8816698559004865,0.2315872677126727,1.1132571236131592
Gabriel Tiscareno,Breakers,0.9896732287965192,,0.9896732287965192
Robert Reeves,Guapos,0.5877738972567342,0.3799106765646688,0.967684573821403
Alex Torres,Guapos,0.4958071061440596,0.3999587665043644,0.895765872648424
Charlie Greene,Hard Knocks,0.7722891206137809,,0.7722891206137809
Brandon Kaufman,Hard Knocks,0.7141803748859714,,0.7141803748859714
Josh Cimino,Legends,0.1742187940517492,0.5273720575239014,0.7015908515756506
Savion Thompson,Cardinals,0.6483747759015303,,0.6483747759015303
Kasim Hussain,Legends,0.6445223996676179,,0.6445223996676179
Chad Crunelle,Hard Knocks,-0.0014009280004445,0.6402785154228283,0.6388775874223839
Willie Barcena,Hard Knocks,0.5168178306531852,0.0720976166716113,0.5889154473247965
Steven Ferguson,Legends,0.3567582555674513,0.2204186842141565,0.5771769397816078
Danny Torres,Guapos,0.0848707435482408,0.3716960121686972,0.456566755716938
Kellen Hatheway,Legends,0.455030873269923,,0.455030873269923
Leo Decter,Cardinals,0.4124582585514769,,0.4124582585514769
Liam O'Brien,Cardinals,0.1820511283056183,0.2120289795527069,0.39408010785832515
Ankit Shah,Breakers,0.1027301880468821,0.2839025438867392,0.3866327319336213
Fabian De La Barcena,Hard Knocks,0.3849253461064563,,0.3849253461064563
Dylan Plunkett,Guapos,0.3702961554853611,,0.3702961554853611
Glenn Morris,Breakers,0.3616323489713189,,0.3616323489713189
Joshua McMurrey,Mariners,0.2798644796041379,0.0806634172759273,0.3605278968800652
Rico Pena,Legends,0.3499346889291032,,0.3499346889291032
DaJohn Murray,Breakers,0.3422278298548581,,0.3422278298548581
Leo Alcala,Guapos,-0.05758813651771,0.3786440007083111,0.3210558641906011
Isaac Friedenberg,Cardinals,0.3115995353118569,0.0066417907656165,0.3182413260774734
Carter Cotton,Mariners,0.3084287837892578,,0.3084287837892578
Eli Harris,Cardinals,0.2961677128841175,,0.2961677128841175
Alexander Delk,Legends,0.0217385825941094,0.2734350981494871,0.29517368074359646
Kevin Biederman,Guapos,0.2780914433083492,,0.2780914433083492
Jonathan Hernandez,Guapos,0.0931366053395791,0.1813673370691299,0.274503942408709
Robert Reeves III,Guapos,0.2690149152883149,,0.2690149152883149
Derek Chance,Legends,0.2674438416735109,,0.2674438416735109
Kyle Aube,Legends,-0.6032283427043978,0.8548336100408269,0.2516052673364291
Brian Holman,Legends,0.0101942872238777,0.2288407635027474,0.2390350507266251
Maximino Pecina,Breakers,0.2055791768691445,,0.2055791768691445
Johnny Silva,Guapos,0.2009794932159481,,0.2009794932159481
Andrew Gerety,Legends,0.1985412342999489,,0.1985412342999489
Adam Tuszynski,Legends,0.1889620295223584,,0.1889620295223584
Jake Sahagian,Legends,0.0058898617129111,0.1805029668074692,0.18639282852038028
David Mair,Hard Knocks,0.1752624595851031,,0.1752624595851031
